feature_group,feature_count,accuracy,precision,recall,f1
normalized_plus_ergonomic,45,0.9342403628117912,0.9542635658914728,0.9347000759301444,0.9443805140007672
normalized_all_33_landmarks,99,0.9120181405895692,0.9390148553557468,0.911921032649962,0.9252696456086288
raw_all_33_landmarks,99,0.9056689342403628,0.9288476411446248,0.911921032649962,0.9203065134099616
normalized_head_shoulders_hips_hands,33,0.8630385487528345,0.8949416342412452,0.8731966590736523,0.883935434281322
raw_head_shoulders_hips_hands,33,0.8625850340136054,0.8930232558139535,0.8747152619589977,0.8837744533947065
ergonomic_indicators,12,0.834920634920635,0.872556684910086,0.8473804100227791,0.8597842835130971
