participant_id,n,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,mcc,false_positive,false_negative,accuracy_percent,precision_incorrect_percent,recall_incorrect_percent,f1_incorrect_percent
P06,1838,0.9287268770402612,0.925207756232687,0.9524714828897338,0.9386416861826696,0.8541869322575874,81,50,92.87,92.52,95.25,93.86
P07,2718,0.8690213392200147,0.9428571428571428,0.812375249500998,0.8727662616154396,0.7480693902800115,74,282,86.9,94.29,81.24,87.28
