feature_subset,algorithm,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,roc_auc,pr_auc
ergonomic,SVM RBF,0.948733413751508,0.975206611570248,0.9280898876404494,0.9510650546919976,0.948616757871648,0.898516154286836,0.9771499005149814,0.983259220936356
combined_without_hand,SVM RBF,0.9451145958986732,0.977299880525687,0.9191011235955056,0.9473074696004632,0.9450193735667514,0.8919785710821448,0.9810941889044944,0.9866098051126304
combined_without_neck,SVM RBF,0.9360675512665864,0.9757281553398058,0.903370786516854,0.9381563593932322,0.93599453425342,0.8749667039158691,0.9823955407303372,0.9866649960795024
combined,SVM RBF,0.9348612786489746,0.9768292682926828,0.9,0.936842105263158,0.9347971422953398,0.8729391390518755,0.9809413038389514,0.985898145431101
raw,SVM RBF,0.9119420989143546,0.9407582938388626,0.8921348314606742,0.9158016147635524,0.911756686016416,0.8249237365624162,0.9745845037453184,0.9794650285841364
