threshold,accuracy,precision,recall,f1,macro_f1,mcc,roc_auc,pr_auc,brier_score
0.1,0.913751507840772,0.9278350515463918,0.9101123595505618,0.9188882586500284,0.9134042065948144,0.8270019633700301,0.982256554307116,0.9850536901612412,0.0787101738648139
0.15,0.9113389626055488,0.9314750290360048,0.901123595505618,0.9160479725870933,0.9110591300635148,0.8226792328507545,0.982256554307116,0.9850536901612412,0.0787101738648139
0.2,0.9125452352231604,0.940828402366864,0.8932584269662921,0.9164265129682996,0.9123562039857313,0.826063106915608,0.982256554307116,0.9850536901612412,0.0787101738648139
0.25,0.9089264173703256,0.943577430972389,0.8831460674157303,0.9123621590249564,0.90878622703288,0.8197294934565219,0.982256554307116,0.9850536901612412,0.0787101738648139
0.3,0.9095295536791316,0.9479418886198548,0.8797752808988764,0.9125874125874126,0.9094187062937062,0.8215578961044576,0.982256554307116,0.9850536901612412,0.0787101738648139
0.35,0.9065138721351024,0.9487179487179488,0.8730337078651685,0.909303686366296,0.9064253341601238,0.8161871562695467,0.982256554307116,0.9850536901612412,0.0787101738648139
0.4,0.9034981905910736,0.9506172839506172,0.8651685393258427,0.9058823529411764,0.9034362259755389,0.8110940900277455,0.982256554307116,0.9850536901612412,0.0787101738648139
0.45,0.8998793727382388,0.9513715710723192,0.8573033707865169,0.9018912529550828,0.8998372520933049,0.8047626838231262,0.982256554307116,0.9850536901612412,0.0787101738648139
0.5,0.9016887816646562,0.9560853199498118,0.8561797752808988,0.9033787788974512,0.901658695771623,0.8090123491437848,0.982256554307116,0.9850536901612412,0.0787101738648139
0.55,0.9004825090470446,0.9582806573957016,0.851685393258427,0.9018441403926234,0.9004633545999814,0.807372966598651,0.982256554307116,0.9850536901612412,0.0787101738648139
0.6,0.8998793727382388,0.9593908629441624,0.849438202247191,0.901072705601907,0.8998648021294029,0.8065688096141219,0.982256554307116,0.9850536901612412,0.0787101738648139
0.65,0.8992762364294331,0.9640564826700898,0.8438202247191011,0.8999400838825644,0.8992718027184528,0.8066417441217272,0.982256554307116,0.9850536901612412,0.0787101738648139
0.7,0.9004825090470446,0.9689521345407504,0.8415730337078652,0.9007817197835236,0.9004816039933953,0.809976493074824,0.982256554307116,0.9850536901612412,0.0787101738648139
0.75,0.8968636911942099,0.9724047306176083,0.8314606741573034,0.8964264082374318,0.8968618527673646,0.804648611476127,0.982256554307116,0.9850536901612412,0.0787101738648139
0.8,0.8944511459589868,0.9760319573901464,0.8235955056179776,0.8933577087141986,0.8944400483869501,0.8015447170414901,0.982256554307116,0.9850536901612412,0.0787101738648139
0.85,0.8926417370325693,0.989010989010989,0.8089887640449438,0.8899876390605687,0.8925792141121454,0.8023845930366678,0.982256554307116,0.9850536901612412,0.0787101738648139
0.9,0.8860072376357057,0.9915848527349228,0.7943820224719101,0.8820960698689956,0.885881660153412,0.7922314130466404,0.982256554307116,0.9850536901612412,0.0787101738648139
