feature_group,feature_count,accuracy,precision,recall,f1
all_33_landmarks,99,0.86,0.8983050847457628,0.8688524590163934,0.8833333333333333
head_shoulders_hips_hands,33,0.85,0.859375,0.9016393442622951,0.88
