threshold,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,participant_id,n
0.76,0.9287268770402611,0.925207756232687,0.9524714828897338,0.9386416861826697,0.9268159761218345,0.8541869322575874,0.9730587079983359,0.9836290239917769,705,81,50,1002,P06,1838
0.76,0.8690213392200147,0.9428571428571428,0.812375249500998,0.8727662616154396,0.8689077706864158,0.7480693902800115,0.948506827223468,0.9551413910819765,1141,74,282,1221,P07,2718
