n,threshold,accuracy,accuracy_ci_low,accuracy_ci_high,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,roc_auc,pr_auc,brier_score,false_positive,false_negative,held_out_participant,model_id,feature_set
5182,0.5,0.848900038595137,0.8388905344861622,0.8583926410049584,0.8338741077222582,0.9046110524463217,0.8678034779672463,0.8457459182225333,0.6952994056467302,0.9181562285692462,0.9272588925715665,0.11733238440756463,512,271,P01,random_forest__ergonomic_14,ergonomic_14
1225,0.5,0.8881632653061224,0.8692867704405751,0.9046128999958898,0.8592057761732852,0.9727520435967303,0.9124600638977636,0.878828902005379,0.7705662431907745,0.9698371781994151,0.9764728833572046,0.07244358530612247,117,20,P02,random_forest__ergonomic_14,ergonomic_14
2208,0.5,0.8215579710144928,0.8050331868768781,0.8369658109885085,0.8888888888888888,0.8481675392670157,0.8680509042196919,0.7962632143476082,0.5945499316195315,0.8946248460117034,0.9561423080418541,0.12864473913043478,162,232,P03,random_forest__ergonomic_14,ergonomic_14
1815,0.5,0.7487603305785124,0.7282953141132107,0.7681745654470946,0.6712328767123288,1.0,0.8032786885245902,0.7278588564574171,0.5700754804680306,0.8026036325461359,0.7048068543612236,0.20902948319559228,456,0,P04,random_forest__ergonomic_14,ergonomic_14
2250,0.5,0.88,0.8659208459803317,0.8927838061626566,0.9040055248618785,0.9090277777777778,0.9065096952908587,0.8695079493824021,0.7390415825612078,0.9535253772290809,0.9721548873326409,0.08167369955555556,139,131,P05,random_forest__ergonomic_14,ergonomic_14
