algorithm_family,model_id,feature_set,class_weight,threshold,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,roc_auc,pr_auc,false_positive,false_negative,train_seconds,predict_seconds,true_negative,true_positive,n_test
HistGradientBoosting,hist_gradient_boosting_balanced_sample_weight__ergonomic_v2_with_view,ergonomic_v2_with_view,balanced_sample_weight,0.5,0.8733538191395961,0.8671121009651076,0.9142857142857144,0.8900742998666412,0.8703542609869059,0.742402326309096,0.9470290295165528,0.9572887293121074,358,219,0.525,0.018,1643,2336,4556
Logistic Regression,logistic_regression_none__ergonomic_14,ergonomic_14,none,0.5,0.862379280070237,0.9409881061299176,0.8050880626223093,0.8677494199535963,0.8621519920632772,0.7357247301125712,0.9228419058572476,0.933923679470876,129,498,0.0268,0.0019,1872,2057,4556
Random Forest,random_forest_balanced__ergonomic_v2_with_view,ergonomic_v2_with_view,balanced,0.5,0.8386742756804214,0.8489263803680982,0.8665362035225049,0.8576409064497386,0.8357589186591565,0.6717515040875597,0.9172490075901384,0.9421897896312096,394,341,1.9714,0.0814,1607,2214,4556
SVM RBF,svm_rbf_balanced__normalized_99,normalized_99,balanced,0.5,0.6808604038630377,0.6397562833206397,0.9863013698630136,0.7761010163227595,0.6103576128214256,0.4019829370395094,0.7915044434729799,0.8360693074063652,1419,35,0.8934,0.4003,582,2520,4556
Decision Tree,decision_tree_none__combined_v2_with_view,combined_v2_with_view,none,0.5,0.681079894644425,0.6507936507936508,0.930724070450098,0.7659848606861008,0.6327340769155616,0.3649746293114351,0.6843196796904875,0.7200515805815446,1276,177,1.0403,0.002,725,2378,4556
KNN,knn_none__ergonomic_14,ergonomic_14,none,0.5,0.7363915715539947,0.796669588080631,0.711545988258317,0.7517056026462684,0.7353849650658242,0.4761033060024494,0.8096181850366402,0.825459262960844,464,737,0.0191,0.1033,1537,1818,4556
ANN/Keras,ann_keras_balanced__normalized_99,normalized_99,balanced,0.5,0.6872256365232661,0.6836801040312094,0.823091976516634,0.7469366009589771,0.6687857379974431,0.3569540556044521,0.791733096269869,0.8471596933928437,973,452,33.3327,0.2623,1028,2103,4556
MLPClassifier,mlp_sklearn_none__raw_99,raw_99,none,0.5,0.5838454784899034,0.5740283082453381,1.0,0.7293748215815016,0.4145449606483006,0.1735552519232569,0.5738641442488148,0.6043534563462026,1896,0,1.4273,0.0056,105,2555,4556
Rule-based Baseline,rule_based_baseline,manual_ergonomic_rules,none,0.5,0.5607989464442493,0.5607989464442493,1.0,0.7186049782027845,0.3593024891013922,0.0,0.5,0.5607989464442493,2001,0,0.0,0.8607,0,2555,4556
