feature_subset,algorithm,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,roc_auc,pr_auc
combined_without_hand,SVM RBF,0.8344136711844431,0.9723032069970845,0.7179763186221744,0.8260061919504644,0.8340261426306566,0.7031247731950504,0.9002805996591317,0.9337083044074532
ergonomic,SVM RBF,0.8267530936947555,0.9689807976366323,0.7061356297093649,0.8169364881693649,0.8262534789840112,0.6899707579836575,0.8715450641370651,0.9186897437680331
combined,SVM RBF,0.8238067177371833,0.9715568862275449,0.6986006458557589,0.812773951158422,0.8231927630026945,0.6865353605069456,0.8968298685862935,0.9307259966248413
combined_without_neck,SVM RBF,0.8232174425456689,0.9701046337817638,0.6986006458557589,0.8122653316645807,0.8226137348746065,0.685029423898434,0.9007851744707571,0.9325207982682451
raw,SVM RBF,0.7990571596935769,0.9273255813953488,0.6867599569429494,0.7891156462585034,0.7986095957797863,0.6302293839091995,0.91962543729817,0.9382446325609684
