threshold,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,false_positive,false_negative
0.05,0.5687006145741879,0.5652654867256637,1.0,0.72226148409894,0.37880379065035363,0.10084490028804081,1965,0
0.1,0.5708955223880597,0.566607460035524,0.998825831702544,0.7230485904519054,0.38539180618552404,0.1089249195517892,1952,3
0.15,0.5693590869183495,0.5659621802002225,0.9956947162426615,0.7217021276595744,0.3850993664486039,0.08930719247011529,1951,11
0.2,0.5693590869183495,0.5664053751399776,0.9898238747553816,0.7205128205128205,0.391327155954307,0.0791299802512484,1936,26
0.25,0.5902107111501317,0.5803738317757009,0.9722113502935421,0.7268471104608633,0.45345429743508686,0.15532139733861605,1796,71
0.3,0.6246707638279192,0.603680981595092,0.9628180039138943,0.7420814479638009,0.5265604661253331,0.25149617003062114,1615,95
0.35,0.6433274802458296,0.6174242424242424,0.9569471624266145,0.750575594781274,0.5624268039366516,0.29410314388616765,1515,110
0.4,0.7087357330992098,0.6697070204532891,0.9483365949119373,0.7850315891786813,0.6667587343647745,0.43098053777880313,1195,132
0.45,0.8009218612818262,0.7602653190145294,0.9420743639921723,0.8414612829924838,0.7869942805407715,0.6065721464393692,759,148
0.5,0.8215539947322212,0.7946549391069012,0.9193737769080235,0.8524768644529124,0.813353122590244,0.6404798127058315,607,206
0.55,0.767998244073749,0.7944182389937107,0.7909980430528376,0.7927044518533045,0.7646552411272503,0.5293196158112696,523,534
0.6,0.6995171202809481,0.7784037558685446,0.6489236790606654,0.7077908217716116,0.6992760298151033,0.41084462737025973,472,897
0.65,0.6562774363476734,0.7648634172469202,0.5589041095890411,0.6458616010854816,0.6559798410544679,0.34261697315515394,439,1127
0.7,0.6488147497805092,0.7693175408911449,0.5338551859099804,0.6303142329020333,0.6479330361834581,0.3353569200007368,409,1191
0.75,0.6409130816505707,0.7714116952155936,0.5111545988258317,0.6148775894538606,0.6392644526216671,0.3263376487793643,387,1249
0.8,0.6380597014925373,0.783125,0.4904109589041096,0.6031287605294825,0.6352339384652658,0.3295815215218636,347,1302
0.85,0.6488147497805092,0.8539659006671608,0.450880626223092,0.5901639344262295,0.6414721361839288,0.38312123922316826,197,1403
0.9,0.6088674275680421,0.8939857288481141,0.3432485322896282,0.49604072398190047,0.5882283964242357,0.35168104723766486,104,1678
0.95,0.5469710272168569,0.9640831758034026,0.19960861056751467,0.33073929961089493,0.4941685880934369,0.29451877069958426,19,2045
