algorithm_family,model_id,feature_set,class_weight,accuracy_mean,accuracy_std,precision_incorrect_mean,precision_incorrect_std,recall_incorrect_mean,recall_incorrect_std,f1_incorrect_mean,f1_incorrect_std,mcc_mean,mcc_std,false_positive_mean,false_positive_std,false_negative_mean,false_negative_std
HistGradientBoosting,hist_gradient_boosting_balanced_sample_weight__ergonomic_v2_with_view,ergonomic_v2_with_view,balanced_sample_weight,0.8602282704126427,0.009316601588047705,0.8708361873667332,0.0045792810048162725,0.8816438356164383,0.024005289429544458,0.8760318797835343,0.01016846676889827,0.7162882403540162,0.0180709848994176,334.4,21.384573879317767,302.4,61.33351449248608
Random Forest,random_forest_balanced__ergonomic_v2_with_view,ergonomic_v2_with_view,balanced,0.835118525021949,0.00884850073745835,0.8478196951214046,0.01373041474079107,0.8610567514677104,0.02733148380265985,0.8540375872494851,0.009965991560736335,0.6653803841253463,0.016954529855396486,396.2,50.26629089161045,355.0,69.831941115796
Decision Tree,decision_tree_none__combined_v2_with_view,combined_v2_with_view,none,0.681079894644425,0.0,0.6507936507936508,0.0,0.9307240704500979,0.0,0.7659848606861008,0.0,0.3649746293114351,0.0,1276.0,0.0,177.0,0.0
ANN/Keras,ann_keras_balanced__normalized_99,normalized_99,balanced,0.6485513608428446,0.06162990813595655,0.7685369549665066,0.08775529559052508,0.5387084148727984,0.06863982059682928,0.6315640341751474,0.06797722948013557,0.3342208565916771,0.13004242883684922,422.6,185.36261759049478,1178.6,175.37474162489877
MLPClassifier,mlp_sklearn_none__raw_99,raw_99,none,0.5392449517120281,0.0421540602907635,0.5529902123150007,0.020874017911140748,0.9210176125244619,0.06924020881890153,0.6908683374380928,0.035816904180581,-0.02380205051803247,0.15529477243578532,1897.4,24.161953563402125,201.8,176.90873353229344
