threshold,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,evaluation,window
0.76,0.8931079894644425,0.9348191757779647,0.8700587084148728,0.9012771133184675,0.8923710285424594,0.7874750423271265,0.9491293492197149,0.9620879770486879,1846,155,332,2223,frame_level_raw,1
0.76,0.8902546093064091,0.9419354838709677,0.8571428571428571,0.8975409836065574,0.8896967677957173,0.7839836336053404,0.9561231126119915,0.9672360470760845,1866,135,365,2190,frame_level_smoothed,3
0.76,0.8895961369622476,0.9456993918331885,0.852054794520548,0.8964381305332509,0.889112132246649,0.7837703611444355,0.9595513397899876,0.9696112943526917,1876,125,378,2177,frame_level_smoothed,5
0.76,0.8869622475856014,0.9497354497354498,0.8430528375733856,0.8932199875596102,0.8865726890467671,0.7802556807559498,0.961757281828753,0.9710622828217759,1887,114,401,2154,frame_level_smoothed,7
0.76,0.8849868305531168,0.9511328298533985,0.8379647749510764,0.8909696213067,0.8846394785585985,0.7772366189250671,0.9639800452024477,0.9729776891387748,1891,110,414,2141,frame_level_smoothed,10
0.5,0.9565217391304348,1.0,0.9166666666666666,0.9565217391304348,0.9565217391304348,0.9166666666666666,0.9583333333333333,0.9601449275362318,11,0,1,11,video_level_majority_vote,0
0.76,0.9130434782608695,1.0,0.8333333333333334,0.9090909090909091,0.9128787878787878,0.8397191227596315,0.9848484848484849,0.9866452991452993,11,0,2,10,video_level_mean_probability,0
0.5,0.8695652173913043,0.8,1.0,0.8888888888888888,0.8654970760233918,0.7627700713964738,0.8636363636363636,0.8,8,3,0,12,warning_level_stable_2s,5
