algorithm,n,correct,accuracy,accuracy_ci_low,accuracy_ci_high,precision,recall,f1
ANN,1697,1346,0.7931644077784326,0.7732417930446575,0.8117627615185287,0.9459876543209876,0.6598493003229279,0.777425491439442
Rule-based,1697,961,0.5662934590453742,0.5425908678939768,0.5896965941931758,0.584426946631671,0.7190527448869752,0.6447876447876448
