threshold,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,model_id,algorithm,class_weight,feature_set,feature_count,train_seconds,predict_seconds
0.5,0.7502194907813872,0.7313091740124061,0.8767123287671232,0.797436810252759,0.7358678040960418,0.49210609882631684,0.8752520999774085,0.9163665487439788,1178,823,315,2240,extra_trees_none__ergonomic_v2_with_view,extra_trees,none,ergonomic_v2_with_view,31,0.565,0.09
0.5,0.7776558384547849,0.8314703353396389,0.7569471624266145,0.792460561360377,0.7765186285884844,0.5570055134029244,0.8686198974876556,0.8976116128462924,1609,392,621,1934,random_forest_none__combined_v2,random_forest,none,combined_v2,126,6.072,0.102
0.5,0.7467076382791923,0.7370558375634517,0.8524461839530333,0.790562613430127,0.7350925227061795,0.48249620422396594,0.8136470903491504,0.807669042993364,1224,777,377,2178,random_forest_balanced__ergonomic_14,random_forest,balanced,ergonomic_14,14,1.616,0.071
0.5,0.6674714661984197,0.6287766220901436,0.9937377690802348,0.7702108296678295,0.5843908455603934,0.3824276695662769,0.7920845839311265,0.8373862143181874,502,1499,16,2539,svm_rbf_none__normalized_99,svm_rbf,none,normalized_99,99,7.121,0.421
0.5,0.6670324846356454,0.6284653465346535,0.9937377690802348,0.7699772554965884,0.5836378132866334,0.3815079767844302,0.7915054214575687,0.8360696228041203,500,1501,16,2539,svm_rbf_balanced__normalized_99,svm_rbf,balanced,normalized_99,99,6.983,0.361
0.5,0.6766900790166813,0.6428194297782471,0.9530332681017613,0.7677755005517893,0.6179072519010301,0.36703832829104066,0.6958270375575422,0.7615242467242325,648,1353,120,2435,hist_gradient_boosting_none__normalized_99,hist_gradient_boosting,none,normalized_99,99,1.844,0.026
0.5,0.7278314310798947,0.7425304315750646,0.787866927592955,0.7645271553361185,0.7210571294101289,0.44387580006225646,0.7886913686014135,0.8149885997324109,1303,698,542,2013,random_forest_none__ergonomic_14,random_forest,none,ergonomic_14,14,1.571,0.07
0.5,0.7311237928007024,0.7871329879101899,0.7135029354207436,0.748511599260932,0.7298323146033497,0.4637243120026351,0.836805374220913,0.8784450323802679,1508,493,732,1823,random_forest_none__normalized_99,random_forest,none,normalized_99,99,5.052,0.092
0.5,0.6927129060579456,0.7113062568605928,0.7608610567514678,0.735249621785174,0.6845704175871477,0.3713203877524082,0.7819381894180111,0.787045724915394,1212,789,611,1944,hist_gradient_boosting_none__ergonomic_14,hist_gradient_boosting,none,ergonomic_14,14,2.081,0.03
0.5,0.6613257243195786,0.6664473684210527,0.7929549902152642,0.7242180518319928,0.6427459323703609,0.3014497476083872,0.7374097686968649,0.8044130962713772,987,1014,529,2026,svm_rbf_balanced__combined_v2,svm_rbf,balanced,combined_v2,126,9.05,0.381
0.5,0.6514486391571555,0.6539318688315823,0.8039138943248533,0.7212078651685393,0.6281683353945742,0.2795913286268374,0.7302721437715585,0.8047175260883319,914,1087,501,2054,svm_rbf_none__combined_v2,svm_rbf,none,combined_v2,126,9.053,0.392
0.5,0.7280509218612818,0.853763440860215,0.6215264187866928,0.719365798414496,0.72779020174078,0.49031619332862153,0.7101084487110652,0.7483572323785921,1729,272,967,1588,logistic_regression_balanced__combined_v2_with_view,logistic_regression,balanced,combined_v2_with_view,130,0.829,0.009
0.5,0.7181738366988587,0.8277462609592573,0.6281800391389433,0.7142857142857143,0.7181216358349316,0.4629960845375185,0.7045952561879529,0.7377336702985821,1667,334,950,1605,logistic_regression_none__combined_v2_with_view,logistic_regression,none,combined_v2_with_view,130,0.793,0.008
0.5,0.7394644424934153,0.934561626429479,0.57573385518591,0.7125211915718092,0.7371556389326033,0.5471535211565696,0.815816553562749,0.8512611293597692,1898,103,1084,1471,logistic_regression_none__ergonomic_v2_with_view,logistic_regression,none,ergonomic_v2_with_view,31,0.078,0.003
0.5,0.6446444249341527,0.6610461114934618,0.7518590998043053,0.703534151254349,0.630046998935857,0.26806656634408055,0.7396382043811753,0.8114486521062669,1016,985,634,1921,svm_rbf_balanced__combined_v2_with_view,svm_rbf,balanced,combined_v2_with_view,130,7.782,0.374
0.5,0.7197102721685689,0.9117268041237113,0.5538160469667319,0.6890674458242025,0.7169612953396737,0.5082512533671864,0.7972931342547904,0.8098878044644968,1864,137,1140,1415,logistic_regression_none__ergonomic_14,logistic_regression,none,ergonomic_14,14,0.054,0.002
