algorithm,dataset,accuracy,precision,recall,f1,macro_f1,mcc,roc_auc,pr_auc,train_seconds,predict_seconds,note
ANN,posture_external_test_2fps_with_metadata.csv,0.9016887816646562,0.9560853199498118,0.8561797752808988,0.9033787788974511,0.901658695771623,0.8090123491437848,0.9822565543071161,0.9850536901612413,,0.23,"loaded keras model, threshold=0.5"
Rule-based,posture_external_test_2fps_with_metadata.csv,0.6749095295536791,0.6348962336664105,0.9280898876404494,0.7539936102236422,0.6374412495562656,0.37558153786428655,,,,,interpretable ergonomic baseline
