threshold,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,true_negative,false_positive,false_negative,true_positive,participant_id,n
0.55,0.8182807399347116,0.9510050251256281,0.7195817490494296,0.8192640692640693,0.8182753606714219,0.6689287252802166,747,39,295,757,P06,1838
0.55,0.7726269315673289,0.8459734167318217,0.7198935462408517,0.7778576563623293,0.7725007950236665,0.5555771356560069,1018,197,421,1082,P07,2718
