threshold,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,model_id,algorithm,class_weight,feature_set
0.78,0.8808165057067603,0.924831081081081,0.8571428571428571,0.8897014015843998,0.8800380963519994,0.7630827416212096,0.9303931204652076,0.9526466487202077,1823,178,365,2190,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.79,0.8786215978928885,0.9259574468085107,0.8516634050880626,0.8872579001019368,0.8779051563737638,0.75941174703576,0.9303931204652076,0.9526466487202077,1827,174,379,2176,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.8,0.875548726953468,0.9266094420600859,0.8450097847358121,0.8839303991811669,0.8748963564394123,0.7541127111260814,0.9303931204652076,0.9526466487202077,1830,171,396,2159,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.3,0.5965759438103599,0.5821305841924399,0.9945205479452055,0.7343930635838151,0.44794470697438926,0.20547754071706698,0.9095224403453851,0.9334511788566117,177,1824,14,2541,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.31,0.603819139596137,0.5866851595006934,0.9933463796477495,0.7376834762389187,0.46431462023510256,0.22621040625866926,0.9095224403453851,0.9334511788566117,213,1788,17,2538,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.32,0.6117208077260755,0.5916083916083916,0.9933463796477495,0.741563184806428,0.48061838111075705,0.24930812011719905,0.9095224403453851,0.9334511788566117,249,1752,17,2538,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.33,0.6231343283582089,0.5991950757575758,0.9906066536203523,0.7467178049859862,0.5053777623301127,0.27595932718113886,0.9095224403453851,0.9334511788566117,308,1693,24,2531,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.34,0.637620719929763,0.6088631984585742,0.9894324853228963,0.7538392724019681,0.5336763929577408,0.31047375686051915,0.9095224403453851,0.9334511788566117,377,1624,27,2528,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.35,0.6584723441615452,0.6233028881757591,0.9882583170254403,0.7644565546472903,0.5717733691033738,0.3567036537014319,0.9095224403453851,0.9334511788566117,475,1526,30,2525,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.36,0.6777875329236172,0.6374905135340247,0.9863013698630136,0.7744314689612785,0.6053416945420832,0.39565538595530014,0.9095224403453851,0.9334511788566117,568,1433,35,2520,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.37,0.7043459174714662,0.6587802313354364,0.9808219178082191,0.7881742412328983,0.6494449121166308,0.44403702373634857,0.9095224403453851,0.9334511788566117,703,1298,49,2506,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.38,0.7251975417032485,0.6767019256848387,0.9765166340508806,0.7994232617750721,0.6815931639885813,0.48104532561992386,0.9095224403453851,0.9334511788566117,809,1192,60,2495,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
